Country,From,To,Participants,Sports,Gold,Silver,Bronze,Summer
Afghanistan,1936,2008,97,7,,,1,1
Albania,1972,2008,32,7,,,,1
Algeria,1964,2008,288,17,4,2,8,1
American Samoa,1988,2008,19,8,,,,1
Andorra,1976,2008,27,8,,,,1
Angola,1980,2008,124,10,,,,1
Antigua and Barbuda,1976,2008,61,6,,,,1
Argentina,1900,2008,1474,30,17,23,26,1
Armenia,1996,2008,79,12,1,1,7,1
Aruba,1988,2008,22,9,,,,1
Australasia,1908,1912,53,8,3,4,5,1
Australia,1896,2008,3086,35,131,140,168,1
Austria,1896,2008,1407,31,25,40,41,1
Azerbaijan,1996,2008,105,12,4,3,9,1
Bahamas,1952,2008,138,8,4,2,5,1
Bahrain,1984,2008,51,7,,,,1
Bangladesh,1984,2008,27,3,,,,1
Barbados,1968,2008,102,11,,,1,1
Belarus,1996,2008,446,24,10,20,36,1
Belgium,1900,2008,1827,35,42,55,58,1
Belize,1968,2008,46,6,,,,1
Benin,1972,2008,44,7,,,,1
Bermuda,1936,2008,110,10,,,1,1
Bhutan,1984,2008,17,1,,,,1
Bohemia,1900,1912,66,9,,1,5,1
Bolivia,1936,2008,61,15,,,,1
Bosnia and Herzegovina,1992,2008,34,10,,,,1
Botswana,1980,2008,49,4,,,,1
Brazil,1900,2008,1579,30,20,25,46,1
British Virgin Islands,1984,2008,22,2,,,,1
Brunei,1996,2004,3,2,,,,1
Bulgaria,1924,2008,1242,28,51,84,77,1
Burkina Faso,1972,2008,24,5,,,,1
Burundi,1996,2008,16,2,1,,,1
Cambodia,1964,2008,34,6,,,,1
Cameroon,1964,2008,180,10,3,1,1,1
Canada,1900,2008,3149,38,59,96,108,1
Cape Verde,1996,2008,6,3,,,,1
Cayman Islands,1976,2008,34,4,,,,1
Central African Republic,1968,2008,42,7,,,,1
Chad,1964,2008,24,3,,,,1
Chile,1912,2008,427,22,2,7,4,1
China,1932,2008,1862,35,163,117,105,1
Chinese Taipei,1956,2008,460,23,2,6,11,1
Colombia,1932,2008,450,21,1,3,7,1
Comoros,1996,2008,10,3,,,,1
Congo (Brazzaville),1964,2008,61,7,,,,1
Congo (Kinshasa),1968,2008,61,7,,,,1
Cook Islands,1988,2008,16,5,,,,1
Costa Rica,1936,2008,135,15,1,1,2,1
Cote d'Ivoire,1964,2008,108,10,,1,,1
Crete,1906,1906,8,2,,,,1
Croatia,1992,2008,268,19,3,6,8,1
Cuba,1900,2008,1142,29,66,62,60,1
Cyprus,1980,2008,92,11,,,,1
Czech Republic,1996,2008,356,27,10,12,11,1
Czechoslovakia,1920,1992,1619,30,49,50,47,1
Denmark,1896,2008,1718,29,44,69,71,1
Djibouti,1984,2008,18,3,,,1,1
Dominica,1996,2008,13,2,,,,1
Dominican Republic,1964,2008,164,15,2,1,1,1
East Germany,1968,1988,1129,21,153,129,127,1
Ecuador,1924,2008,109,15,1,1,,1
Egypt,1906,2008,830,28,7,6,9,1
El Salvador,1932,2008,111,14,,,,1
Equatorial Guinea,1984,2008,24,3,,,,1
Eritrea,2000,2008,12,1,,,1,1
Estonia,1920,2008,218,22,9,8,14,1
Ethiopia,1956,2008,184,3,18,6,14,1
Federated States of Micronesia,2000,2008,12,3,,,,1
Fiji,1956,2008,72,9,,,,1
Finland,1906,2008,1563,27,106,85,117,1
France,1896,2008,4888,42,211,224,258,1
Gabon,1972,2008,26,4,,,,1
Gambia,1984,2008,28,3,,,,1
Georgia,1996,2008,98,16,5,2,11,1
Germany,1896,2008,3484,38,202,229,253,1
Ghana,1952,2008,226,4,,1,3,1
Great Britain,1896,2008,5069,41,216,273,257,1
Greece,1896,2008,1532,36,39,56,49,1
Grenada,1984,2008,33,3,,,,1
Guam,1988,2008,59,10,,,,1
Guatemala,1932,2008,208,19,,,,1
Guinea,1968,2008,51,7,,,,1
Guinea Bissau,1996,2008,10,2,,,,1
Guyana,1948,2008,66,5,,,1,1
Haiti,1900,2008,62,10,,1,1,1
Honduras,1968,2008,89,10,,,,1
Hong Kong,1952,2008,263,17,1,1,,1
Hungary,1896,2008,2418,32,162,147,163,1
Iceland,1908,2008,210,12,,2,2,1
Independent Olympic Participants,1992,1992,58,13,,1,2,1
India,1900,2008,730,22,9,4,7,1
Individual Olympic Athletes,2000,2000,4,3,,,,1
Indonesia,1952,2008,242,20,6,9,10,1
Iran,1900,2008,423,21,11,15,22,1
Iraq,1948,2008,167,13,,,1,1
Ireland,1924,2008,677,24,8,8,10,1
Israel,1952,2008,284,20,1,1,5,1
Italy,1896,2008,3662,35,203,168,178,1
Jamaica,1948,2008,297,12,13,26,16,1
Japan,1912,2008,2843,35,123,112,127,1
Jordan,1980,2008,48,10,,,,1
Kazakhstan,1996,2008,348,23,9,16,14,1
Kenya,1956,2008,418,14,23,28,24,1
Kiribati,2004,2008,5,2,,,,1
Kuwait,1968,2008,187,13,,,1,1
Kyrgyzstan,1996,2008,100,12,,1,2,1
Laos,1980,2008,40,5,,,,1
Latvia,1924,2008,211,19,2,11,4,1
Lebanon,1948,2008,132,12,,2,2,1
Lesotho,1972,2008,42,3,,,,1
Liberia,1956,2008,38,2,,,,1
Libya,1968,2008,59,8,,,,1
Liechtenstein,1936,2008,49,6,,,,1
Lithuania,1924,2008,222,18,4,4,8,1
Luxembourg,1900,2008,359,19,4,2,,1
Macedonia,1996,2008,28,5,,,1,1
Madagascar,1964,2008,66,7,,,,1
Malawi,1972,2008,51,4,,,,1
Malaya,1956,1960,40,5,,,,1
Malaysia,1964,2008,264,19,,2,2,1
Maldives,1988,2008,24,2,,,,1
Mali,1964,2008,65,7,,,,1
Malta,1928,2008,73,9,,,,1
Marshall Islands,2008,2008,5,3,,,,1
Mauritania,1984,2008,19,2,,,,1
Mauritius,1984,2008,72,11,,,1,1
Mexico,1900,2008,1357,31,12,18,24,1
Mixed team,1912,1912,2,1,10,7,9,1
Moldova,1996,2008,87,10,,2,3,1
Monaco,1920,2008,63,13,,,1,1
Mongolia,1964,2008,209,10,2,7,10,1
Montenegro,2008,2008,19,6,,,,1
Morocco,1960,2008,351,19,6,5,10,1
Mozambique,1980,2008,43,4,1,,1,1
Myanmar,1948,2008,75,11,,,,1
Namibia,1992,2008,29,7,,4,,1
Nauru,1996,2008,7,1,,,,1
Nepal,1964,2008,66,7,,,,1
Netherlands,1900,2008,2482,33,74,82,101,1
Netherlands Antilles,1952,2008,52,11,,1,,1
New Zealand,1920,2008,1005,29,36,16,34,1
Newfoundland,1904,1904,1,1,,,,1
Nicaragua,1968,2008,87,10,,,,1
Niger,1964,2008,30,4,,,1,1
Nigeria,1952,2008,478,13,3,8,12,1
North Borneo,1956,1956,2,1,,,,1
North Korea,1972,2008,284,16,10,12,19,1
North Yemen,1984,1988,10,3,,,,1
Norway,1900,2008,1339,26,57,50,43,1
Oman,1984,2008,36,6,,,,1
Pakistan,1948,2008,341,11,3,3,4,1
Palau,2000,2008,13,4,,,,1
Palestine,1996,2008,10,2,,,,1
Panama,1928,2008,73,10,1,,2,1
Papua New Guinea,1976,2008,51,7,,,,1
Paraguay,1968,2008,91,11,,1,,1
Peru,1900,2008,315,23,1,3,,1
Philippines,1924,2008,367,19,,2,7,1
Poland,1912,2008,2208,29,65,82,122,1
Portugal,1912,2008,627,28,4,7,11,1
Puerto Rico,1948,2008,495,22,,1,5,1
Qatar,1984,2008,98,10,,,2,1
Romania,1900,2008,1382,28,86,89,117,1
Russia,1900,2008,1381,33,109,101,115,1
Rwanda,1984,2008,26,3,,,,1
Saar,1952,1952,36,9,,,,1
Saint Kitts and Nevis,1996,2008,13,1,,,,1
Saint Lucia,1996,2008,15,3,,,,1
Saint Vincent,1988,2008,23,2,,,,1
Samoa,1984,2008,39,8,,,,1
San Marino,1960,2008,70,11,,,,1
Sao Tome and Principe,1996,2008,9,2,,,,1
Saudi Arabia,1972,2008,131,11,,1,1,1
Senegal,1964,2008,189,12,,1,,1
Serbia,1912,2008,89,11,,1,2,1
Serbia and Montenegro,1996,2004,193,19,2,4,3,1
Seychelles,1980,2008,52,8,,,,1
Sierra Leone,1968,2008,56,5,,,,1
Singapore,1948,2008,140,13,,2,,1
Slovakia,1996,2008,209,21,7,8,5,1
Slovenia,1992,2008,191,15,3,5,7,1
Solomon Islands,1984,2008,15,4,,,,1
Somalia,1972,2008,18,1,,,,1
South Africa,1904,2008,766,31,20,25,27,1
South Korea,1948,2008,1844,30,68,74,73,1
South Vietnam,1952,1972,39,7,,,,1
South Yemen,1988,1988,5,2,,,,1
Soviet Union,1952,1988,2475,27,395,319,296,1
Spain,1900,2008,2157,35,34,49,30,1
Sri Lanka,1948,2008,82,10,,2,,1
Sudan,1960,2008,72,8,,1,,1
Suriname,1968,2008,26,5,1,,1,1
Swaziland,1972,2008,39,6,,,,1
Sweden,1896,2008,2720,34,143,165,181,1
Switzerland,1896,2008,1740,36,53,78,67,1
Syria,1948,2008,121,10,1,1,1,1
Tajikistan,1996,2008,29,9,,1,1,1
Tanzania,1964,2008,102,4,,2,,1
Thailand,1952,2008,397,19,7,4,10,1
Timor Leste,2004,2008,3,1,,,,1
Togo,1972,2008,32,6,,,1,1
Tonga,1984,2008,29,5,,1,,1
Trinidad and Tobago,1948,2008,139,10,1,5,8,1
Tunisia,1960,2008,316,19,2,2,3,1
Turkey,1906,2008,593,19,37,23,22,1
Turkmenistan,1996,2008,24,8,,,,1
Tuvalu,2008,2008,3,2,,,,1
Uganda,1956,2008,152,9,1,3,2,1
Ukraine,1996,2008,685,29,28,22,46,1
Unified Team,1992,1992,475,27,45,38,29,1
United Arab Emirates,1984,2008,42,8,1,,,1
United Arab Republic,1960,1960,74,12,,1,1,1
United States,1896,2008,7297,44,944,736,642,1
United States Virgin Islands,1968,2008,116,10,,1,,1
Uruguay,1924,2008,328,19,2,2,6,1
Uzbekistan,1996,2008,197,16,4,5,8,1
Vanuatu,1988,2008,17,4,,,,1
Venezuela,1932,2008,444,26,1,2,8,1
Vietnam,1980,2008,74,14,,2,,1
West Germany,1968,1988,1371,27,56,67,81,1
West Indies Federation,1960,1960,13,5,,,2,1
Yemen,1992,2008,22,6,,,,1
Yugoslavia,1920,1988,1035,25,26,29,28,1
Zambia,1964,2008,135,8,,1,1,1
Zimbabwe,1928,2008,175,14,3,4,1,1
Afghanistan,,,,,,,,0
Albania,2006,2010,1,1,,,,0
Algeria,1992,2010,7,2,,,,0
American Samoa,1994,1994,2,1,,,,0
Andorra,1976,2010,25,3,,,,0
Angola,,,,,,,,0
Antigua and Barbuda,,,,,,,,0
Argentina,1928,2010,131,8,,,,0
Armenia,1994,2010,25,5,,,,0
Aruba,,,,,,,,0
Australasia,,,,,,,,0
Australia,1924,2010,196,14,5,1,3,0
Austria,1924,2010,788,14,55,70,76,0
Azerbaijan,1998,2010,10,2,,,,0
Bahamas,,,,,,,,0
Bahrain,,,,,,,,0
Bangladesh,,,,,,,,0
Barbados,,,,,,,,0
Belarus,1994,2010,149,10,1,4,4,0
Belgium,1924,2010,118,6,1,1,3,0
Belize,,,,,,,,0
Benin,,,,,,,,0
Bermuda,1992,2010,3,3,,,,0
Bhutan,,,,,,,,0
Bohemia,,,,,,,,0
Bolivia,1956,1992,13,1,,,,0
Bosnia and Herzegovina,1994,2010,27,5,,,,0
Botswana,,,,,,,,0
Brazil,1992,2010,25,5,,,,0
British Virgin Islands,1984,1984,1,1,,,,0
Brunei,,,,,,,,0
Bulgaria,1936,2010,171,11,1,2,3,0
Burkina Faso,,,,,,,,0
Burundi,,,,,,,,0
Cambodia,,,,,,,,0
Cameroon,2002,2002,1,1,,,,0
Canada,1924,2010,1155,15,52,46,47,0
Cape Verde,,,,,,,,0
Cayman Islands,2010,2010,1,1,,,,0
Central African Republic,,,,,,,,0
Chad,,,,,,,,0
Chile,1948,2010,45,2,,,,0
China,1980,2010,282,11,9,18,17,0
Chinese Taipei,1972,2010,41,6,,,,0
Colombia,2010,2010,1,1,,,,0
Comoros,,,,,,,,0
Congo (Brazzaville),,,,,,,,0
Congo (Kinshasa),,,,,,,,0
Cook Islands,,,,,,,,0
Costa Rica,1980,2006,7,3,,,,0
Cote d'Ivoire,,,,,,,,0
Crete,,,,,,,,0
Croatia,1992,2010,44,6,4,5,1,0
Cuba,,,,,,,,0
Cyprus,1980,2010,13,1,,,,0
Czech Republic,1994,2010,231,14,5,5,6,0
Czechoslovakia,1924,1992,480,11,2,8,15,0
Denmark,1948,2010,51,8,,1,,0
Djibouti,,,,,,,,0
Dominica,,,,,,,,0
Dominican Republic,,,,,,,,0
East Germany,1968,1988,232,10,39,36,35,0
Ecuador,,,,,,,,0
Egypt,1984,1984,1,1,,,,0
El Salvador,,,,,,,,0
Equatorial Guinea,,,,,,,,0
Eritrea,,,,,,,,0
Estonia,1928,2010,79,8,4,2,1,0
Ethiopia,2006,2010,1,1,,,,0
Federated States of Micronesia,,,,,,,,0
Fiji,1988,2002,2,2,,,,0
Finland,1924,2010,668,12,41,59,56,0
France,1924,2010,763,16,27,27,40,0
Gabon,,,,,,,,0
Gambia,,,,,,,,0
Georgia,1994,2010,14,4,,,,0
Germany,1928,2010,813,15,78,78,53,0
Ghana,2010,2010,1,1,,,,0
Great Britain,1924,2010,610,16,9,3,10,0
Greece,1936,2010,61,7,,,,0
Grenada,,,,,,,,0
Guam,1988,1988,1,1,,,,0
Guatemala,1988,1988,6,2,,,,0
Guinea,,,,,,,,0
Guinea Bissau,,,,,,,,0
Guyana,,,,,,,,0
Haiti,,,,,,,,0
Honduras,1992,1992,1,1,,,,0
Hong Kong,2002,2010,3,1,,,,0
Hungary,1924,2010,196,10,,2,4,0
Iceland,1948,2010,70,3,,,,0
Independent Olympic Participants,,,,,,,,0
India,1924,2010,19,4,,,,0
Individual Olympic Athletes,,,,,,,,0
Indonesia,,,,,,,,0
Iran,1956,2010,21,2,,,,0
Iraq,,,,,,,,0
Ireland,1992,2010,22,4,,,,0
Israel,1994,2010,9,3,,,,0
Italy,1924,2010,881,16,37,32,37,0
Jamaica,1988,2010,10,2,,,,0
Japan,1928,2010,731,15,9,13,15,0
Jordan,,,,,,,,0
Kazakhstan,1994,2010,167,9,1,3,2,0
Kenya,1998,2006,1,1,,,,0
Kiribati,,,,,,,,0
Kuwait,,,,,,,,0
Kyrgyzstan,1994,2010,6,4,,,,0
Laos,,,,,,,,0
Latvia,1924,2010,169,12,,2,1,0
Lebanon,1948,2010,30,3,,,,0
Lesotho,,,,,,,,0
Liberia,,,,,,,,0
Libya,,,,,,,,0
Liechtenstein,1936,2010,78,4,2,2,5,0
Lithuania,1928,2010,18,5,,,,0
Luxembourg,1928,2006,11,3,,2,,0
Macedonia,1998,2010,9,2,,,,0
Madagascar,2006,2006,1,1,,,,0
Malawi,,,,,,,,0
Malaya,,,,,,,,0
Malaysia,,,,,,,,0
Maldives,,,,,,,,0
Mali,,,,,,,,0
Malta,,,,,,,,0
Marshall Islands,,,,,,,,0
Mauritania,,,,,,,,0
Mauritius,,,,,,,,0
Mexico,1928,2010,32,5,,,,0
Mixed team,,,,,1,,,0
Moldova,1994,2010,14,4,,,,0
Monaco,1984,2010,15,2,,,,0
Mongolia,1964,2010,37,4,,,,0
Montenegro,2010,2010,1,1,,,,0
Morocco,1968,2010,22,2,,,,0
Mozambique,,,,,,,,0
Myanmar,,,,,,,,0
Namibia,,,,,,,,0
Nauru,,,,,,,,0
Nepal,1924,2010,3,2,,,,0
Netherlands,1928,2010,197,8,29,31,26,0
Netherlands Antilles,1988,1992,3,2,,,,0
New Zealand,1952,2010,79,11,,1,,0
Newfoundland,,,,,,,,0
Nicaragua,,,,,,,,0
Niger,,,,,,,,0
Nigeria,,,,,,,,0
North Borneo,,,,,,,,0
North Korea,1964,2010,62,5,,1,1,0
North Yemen,,,,,,,,0
Norway,1924,2010,757,15,107,106,90,0
Oman,,,,,,,,0
Pakistan,2010,2010,1,1,,,,0
Palau,,,,,,,,0
Palestine,,,,,,,,0
Panama,,,,,,,,0
Papua New Guinea,,,,,,,,0
Paraguay,,,,,,,,0
Peru,2010,2010,3,2,,,,0
Philippines,1972,1992,4,2,,,,0
Poland,1924,2010,482,15,2,6,6,0
Portugal,1952,2010,10,5,,,,0
Puerto Rico,1984,1998,17,5,,,,0
Qatar,,,,,,,,0
Romania,1928,2010,267,13,,,1,0
Russia,1994,2010,489,15,36,29,26,0
Rwanda,,,,,,,,0
Saar,,,,,,,,0
Saint Kitts and Nevis,,,,,,,,0
Saint Lucia,,,,,,,,0
Saint Vincent,,,,,,,,0
Samoa,,,,,,,,0
San Marino,1976,2010,13,3,,,,0
Sao Tome and Principe,,,,,,,,0
Saudi Arabia,,,,,,,,0
Senegal,1984,2010,3,1,,,,0
Serbia,2010,2010,10,4,,,,0
Serbia and Montenegro,1998,2006,12,5,,,,0
Seychelles,,,,,,,,0
Sierra Leone,,,,,,,,0
Singapore,,,,,,,,0
Slovakia,1994,2010,165,11,1,2,1,0
Slovenia,1992,2010,121,10,,2,5,0
Solomon Islands,,,,,,,,0
Somalia,,,,,,,,0
South Africa,1960,2010,11,5,,,,0
South Korea,1948,2010,206,12,23,14,8,0
South Vietnam,,,,,,,,0
South Yemen,,,,,,,,0
Soviet Union,1956,1988,473,10,78,57,59,0
Spain,1936,2010,121,10,1,,1,0
Sri Lanka,,,,,,,,0
Sudan,,,,,,,,0
Suriname,,,,,,,,0
Swaziland,1992,1992,1,1,,,,0
Sweden,1924,2010,849,14,48,33,48,0
Switzerland,1924,2010,914,15,44,37,46,0
Syria,,,,,,,,0
Tajikistan,2002,2010,1,1,,,,0
Tanzania,,,,,,,,0
Thailand,2002,2006,1,1,,,,0
Timor Leste,,,,,,,,0
Togo,,,,,,,,0
Tonga,,,,,,,,0
Trinidad and Tobago,1994,2002,4,1,,,,0
Tunisia,,,,,,,,0
Turkey,1936,2010,58,3,,,,0
Turkmenistan,,,,,,,,0
Tuvalu,,,,,,,,0
Uganda,,,,,,,,0
Ukraine,1994,2010,174,13,1,1,3,0
Unified Team,1992,1992,129,12,9,6,8,0
United Arab Emirates,,,,,,,,0
United Arab Republic,,,,,,,,0
United States,1924,2010,1573,16,87,95,72,0
United States Virgin Islands,1988,2002,25,3,,,,0
Uruguay,1998,1998,1,1,,,,0
Uzbekistan,1994,2010,19,3,1,,,0
Vanuatu,,,,,,,,0
Venezuela,1998,2006,4,1,,,,0
Vietnam,,,,,,,,0
West Germany,1968,1988,336,10,11,15,13,0
West Indies Federation,,,,,,,,0
Yemen,,,,,,,,0
Yugoslavia,1924,1992,235,10,,3,1,0
Zambia,,,,,,,,0
Zimbabwe,,,,,,,,0
